요일,법규위반,가해운전자차종,가해운전자성별,가해운전자상해정도,피해운전자상해정도,가해운전자연령,피해운전자차종,피해운전자성별,피해운전자연령,노면상태,기상상태,cleanedAdress,X,Y,사고연도,사고월,사고일,사고시각,사고대분류,사고중분류,사고소분류,도로형태_대,도로형태_중,D.법규위반.과속,D.법규위반.교차로운행방법위반,D.법규위반.기타,D.법규위반.보행자보호의무위반,D.법규위반.불법유턴,D.법규위반.신호위반,D.법규위반.안전거리미확보,D.법규위반.중앙선침범,D.법규위반.직진우회전진행방해,D.법규위반.차로위반,D.노면상태.결빙,D.노면상태.기타,D.노면상태.서리결빙,D.노면상태.습기,D.노면상태.적설,D.노면상태.젖음습기,D.기상상태.기타,D.기상상태.눈,D.기상상태.비,D.기상상태.안개,D.기상상태.흐림,D.가해운전자차종.개인형이동수단PM,D.가해운전자차종.건설기계,D.가해운전자차종.기타불명,D.가해운전자차종.농기계,D.가해운전자차종.사륜오토바이ATV,D.가해운전자차종.승합,D.가해운전자차종.원동기,D.가해운전자차종.이륜,D.가해운전자차종.자전거,D.가해운전자차종.특수,D.가해운전자차종.화물,D.가해운전자성별.기타불명,D.가해운전자성별.여,D.피해운전자차종.공란,D.피해운전자차종.개인형이동수단PM,D.피해운전자차종.건설기계,D.피해운전자차종.기타불명,D.피해운전자차종.농기계,D.피해운전자차종.미분류,D.피해운전자차종.보행자,D.피해운전자차종.사륜오토바이ATV,D.피해운전자차종.승합,D.피해운전자차종.원동기,D.피해운전자차종.이륜,D.피해운전자차종.자전거,D.피해운전자차종.특수,D.피해운전자차종.화물,D.피해운전자성별.공란,D.피해운전자성별.기타불명,D.피해운전자성별.미분류,D.피해운전자성별.여,D.사고대분류.차대사람,D.사고대분류.차량단독,D.사고중분류.공작물충돌,D.사고중분류.기타,D.사고중분류.길가장자리구역통행중,D.사고중분류.도로외이탈,D.사고중분류.보도통행중,D.사고중분류.전도전복,D.사고중분류.정면충돌,D.사고중분류.차도통행중,D.사고중분류.측면직각충돌,D.사고중분류.측면충돌,D.사고중분류.횡단중,D.사고중분류.후진중충돌,D.도로형태_대.기타,D.도로형태_대.단일로,D.도로형태_대.미분류,D.도로형태_대.주차장,D.도로형태_중.고가도로위,D.도로형태_중.교량,D.도로형태_중.교차로안,D.도로형태_중.교차로횡단보도내,D.도로형태_중.기타,D.도로형태_중.미분류,D.도로형태_중.주차장,D.도로형태_중.지하차도내,D.도로형태_중.터널,D.도로형태_중.횡단보도부근,D.도로형태_중.횡단보도상,인명피해 심각도,사망자수,중상자수,경상자수,부상신고자수
일요일,안전운전불이행,승용,남,상해없음,중상,67,보행자,남,41,건조,맑음,충청남도 천안시 서북구 입장면,127.2256147,36.9142991,2007,5,6,16,차대사람,기타,없음,기타,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0
수요일,안전운전불이행,승용,남,상해없음,중상,68,화물,남,62,건조,맑음,충청남도 천안시 동남구 신부동,127.1643944,36.82567846,2007,5,23,15,차대차,기타,없음,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0
수요일,안전운전불이행,원동기,남,상해없음,경상,78,보행자,여,77,건조,흐림,충청남도 천안시 동남구 사직동,127.148307,36.80092319,2007,4,11,17,차대사람,길가장자리구역통행중,없음,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0
일요일,안전운전불이행,승용,남,상해없음,경상,69,승합,남,65,건조,맑음,충청남도 천안시 서북구 성환읍,127.1243436,36.93086458,2007,3,11,17,차대차,추돌,진행중,교차로,교차로부근,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0
금요일,중앙선침범,승용,남,상해없음,경상,67,화물,여,54,건조,맑음,충청남도 천안시 서북구 직산읍,127.1504255,36.88987324,2007,5,25,22,차대차,측면직각충돌,없음,교차로,교차로부근,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0
화요일,안전운전불이행,승용,남,상해없음,경상,65,원동기,남,60,건조,맑음,충청남도 천안시 동남구 수신면,127.2864363,36.72405569,2007,5,29,13,차대차,측면직각충돌,없음,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0
화요일,안전운전불이행,원동기,남,중상,상해없음,68,승용,남,45,건조,맑음,충청남도 천안시 동남구 광덕면,127.0869169,36.6710256,2007,5,29,18,차대차,측면직각충돌,없음,교차로,교차로안,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0
화요일,안전운전불이행,화물,남,상해없음,중상,65,보행자,남,65,건조,맑음,충청남도 천안시 동남구 봉명동,127.1353699,36.81012696,2007,5,29,10,차대사람,길가장자리구역통행중,없음,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0
화요일,안전운전불이행,이륜,남,상해없음,경상,67,승용,여,28,건조,맑음,충청남도 천안시 서북구 성정동,127.1401007,36.81887228,2007,6,5,20,차대차,추돌,주정차중,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0
금요일,안전운전불이행,원동기,남,중상,상해없음,75,화물,남,31,건조,맑음,충청남도 천안시 동남구 병천면,127.3037955,36.79178618,2007,4,27,17,차대차,측면직각충돌,없음,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0
수요일,안전운전불이행,원동기,남,중상,상해없음,69,화물,남,33,건조,맑음,충청남도 천안시 서북구 신당동,127.1579927,36.85758716,2007,7,18,9,차대차,측면직각충돌,없음,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0
토요일,교차로운행방법위반,이륜,남,중상,상해없음,74,화물,남,24,건조,맑음,충청남도 천안시 서북구 성환읍,127.1243436,36.93086458,2007,3,24,19,차대차,측면직각충돌,없음,교차로,교차로안,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0
금요일,안전운전불이행,승용,여,상해없음,경상,65,원동기,남,61,습기,맑음,충청남도 천안시 서북구 불당동,127.1068427,36.80893574,2007,8,31,6,차대차,측면직각충돌,없음,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,2,0
월요일,신호위반,원동기,남,중상,상해없음,79,화물,남,31,건조,맑음,충청남도 천안시 서북구 직산읍,127.1504255,36.88987324,2007,6,18,15,차대차,측면직각충돌,없음,교차로,교차로안,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0
목요일,안전운전불이행,승용,남,상해없음,중상,71,원동기,남,44,습기,비,충청남도 천안시 서북구 성정동,127.1401007,36.81887228,2007,9,6,12,차대차,측면직각충돌,없음,교차로,교차로부근,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0
토요일,안전운전불이행,화물,남,상해없음,경상,65,승용,남,28,건조,맑음,충청남도 천안시 서북구 두정동,127.1422611,36.83186824,2007,7,7,18,차대차,기타,없음,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0
일요일,신호위반,승용,남,상해없음,경상,67,승용,남,30,건조,맑음,충청남도 천안시 서북구 성성동,127.1265825,36.84501928,2007,6,3,7,차대차,측면직각충돌,없음,교차로,교차로안,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0
화요일,안전운전불이행,이륜,남,사망, ,83, , , ,건조,맑음,충청남도 천안시 동남구 병천면,127.3037955,36.79178618,2007,5,8,10,차량단독,기타,없음,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,10,1,0,0,0
월요일,차로위반,이륜,남,중상,상해없음,71,승용,여,37,건조,맑음,충청남도 천안시 서북구 쌍용동,127.1231536,36.80108582,2007,9,17,11,차대차,측면직각충돌,없음,단일로,기타,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0
화요일,신호위반,승용,남,상해없음,중상,68,보행자,여,7,건조,맑음,충청남도 천안시 동남구 원성동,127.1613401,36.80809978,2007,9,18,17,차대사람,보도통행중,없음,단일로,횡단보도상,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0
일요일,안전운전불이행,원동기,남,중상,상해없음,68,원동기,남,33,건조,흐림,충청남도 천안시 서북구 백석동,127.1139785,36.82707391,2007,10,28,19,차대차,측면직각충돌,없음,단일로,횡단보도부근,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,0,0
토요일,중앙선침범,승용,남,상해없음,중상,77,이륜,남,69,건조,흐림,충청남도 천안시 동남구 구성동,127.1705605,36.79706163,2007,9,15,9,차대차,기타,없음,단일로,기타,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0
월요일,안전운전불이행,승용,남,상해없음,경상,70,승용,남,36,건조,맑음,충청남도 천안시 서북구 성환읍,127.1243436,36.93086458,2007,7,30,21,차대차,추돌,주정차중,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0
수요일,안전운전불이행,화물,남,중상,경상,67,화물,남,35,습기,비,충청남도 천안시 서북구 직산읍,127.1504255,36.88987324,2007,8,29,14,차대차,측면직각충돌,없음,교차로,교차로부근,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,3,1,0
토요일,교차로운행방법위반,승용,남,상해없음,경상,79,승용,여,54,건조,맑음,충청남도 천안시 동남구 광덕면,127.0869169,36.6710256,2007,10,6,14,차대차,측면직각충돌,없음,교차로,교차로안,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,3,0
토요일,안전운전불이행,원동기,남,경상,경상,73,원동기,남,47,건조,맑음,충청남도 천안시 서북구 입장면,127.2256147,36.9142991,2007,11,3,6,차대차,추돌,진행중,교차로,교차로안,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,2,0
수요일,안전운전불이행,승용,남,상해없음,경상,66,보행자,남,42,건조,맑음,충청남도 천안시 서북구 성정동,127.1401007,36.81887228,2007,10,17,22,차대사람,횡단중,없음,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0
금요일,신호위반,승용,남,상해없음,중상,68,원동기,남,57,건조,맑음,충청남도 천안시 동남구 원성동,127.1613401,36.80809978,2007,6,15,13,차대차,기타,없음,교차로,교차로안,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0
목요일,안전운전불이행,화물,남,상해없음,중상,74,보행자,남,56,건조,맑음,충청남도 천안시 동남구 사직동,127.148307,36.80092319,2007,9,20,15,차대사람,기타,없음,교차로,교차로안,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0
월요일,안전운전불이행,농기계,남,상해없음,경상,70,승용,남,34,건조,맑음,충청남도 천안시 서북구 성환읍,127.1243436,36.93086458,2007,11,5,8,차대차,측면직각충돌,없음,교차로,교차로안,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,2,0
목요일,안전운전불이행,원동기,남,사망,상해없음,66,승용,여,46,건조,맑음,충청남도 천안시 동남구 신방동,127.1280664,36.77929128,2007,11,15,18,차대차,추돌,주정차중,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,10,1,0,0,0
